r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,score,source
1.3,0.05,0.7,8,8,injection,0,True,,0.6485012837806433,0.9999878884070359,0.28797584712451346,0.7362180340496142,0.0034801924740408565,1.0,2.2649312607720305e-08,122,180,0.43214894024868933,grid
1.3,0.05,0.7,8,16,injection,0,True,,0.6477210963697582,0.9999969749099294,0.2879696565275211,0.7374783865493806,0.0017392812371161447,1.0,2.2649312607720305e-08,242,356,0.4318842688119453,grid
1.3,0.05,0.7,8,32,injection,0,True,,0.6473184302924607,0.9999992440155742,0.28796871380041644,0.7381292174203801,0.0008694739774758137,1.0,2.2649312607720305e-08,482,708,0.4317492973828961,grid
1.3,0.05,0.7,12,8,injection,0,True,,0.6437203617835077,0.999989087692984,0.28758667566717916,0.7439553615043224,0.0033033961457128703,1.0,5.203778691629307e-08,122,180,0.43026201192365665,grid
1.3,0.05,0.7,12,16,injection,0,True,,0.642956875090539,0.9999972555285052,0.28759365228910355,0.7451941127045142,0.0016566469228711537,1.0,5.203778691629307e-08,242,356,0.43001199514859706,grid
1.3,0.05,0.7,12,32,injection,0,True,,0.6425676496006997,0.9999993119775843,0.28759555975248097,0.7458259672005219,0.0008294714517100375,1.0,5.203778691629307e-08,482,708,0.42988324329490823,grid
1.3,0.05,0.8,8,8,injection,0,True,,0.6525333976754542,0.999988856717076,0.2801244515454613,0.7297181720638605,0.00333817421622641,1.0,1.9660436649619344e-08,122,180,0.4275401269342247,grid
1.3,0.05,0.8,8,16,injection,0,True,,0.6517783891150389,0.9999972158861601,0.2801163982995003,0.7309335252589437,0.0016685687253501726,1.0,1.9660436649619344e-08,242,356,0.4272865722771486,grid
1.3,0.05,0.8,8,32,injection,0,True,,0.6513883245258034,0.999999304117678,0.28011417639980835,0.7315617313360273,0.000834195903990502,1.0,1.9660436649619344e-08,482,708,0.42715700162937337,grid
1.3,0.05,0.8,12,8,injection,0,True,,0.6505130617990369,0.9999897504666168,0.27584056475978525,0.7329721336913445,0.0032015056515645505,1.0,4.5144607182150116e-08,122,180,0.42360109814572416,grid
1.3,0.05,0.8,12,16,injection,0,True,,0.6497889834908346,0.9999974241272019,0.2758455389548157,0.7341397333029638,0.0016049546513713442,1.0,4.5144607182150116e-08,242,356,0.42336909707479964,grid
1.3,0.05,0.8,12,32,injection,0,True,,0.6494181569028076,0.9999993545442807,0.27584681848954223,0.7347379912131424,0.0008034028476868514,1.0,4.5144607182150116e-08,482,708,0.42324925570044636,grid
1.3,0.1,0.6,8,8,injection,0,True,,0.6403985440690197,0.999987354123226,0.3171798346962259,0.7493514512953251,0.003556126641972831,1.0,5.8334669902123305e-08,122,180,0.45069003133807545,grid
1.3,0.1,0.6,8,16,injection,0,True,,0.6396081128916948,0.9999968414296209,0.3171763772129607,0.7506379565666252,0.0017772395324754148,1.0,5.8334669902123305e-08,242,356,0.45040935168245133,grid
1.3,0.1,0.6,8,32,injection,0,True,,0.6392010126345243,0.9999992106514873,0.31717713527219266,0.7513009323974374,0.0008884532265618041,1.0,5.8334669902123305e-08,482,708,0.45026652779270976,grid
1.3,0.1,0.6,12,8,injection,0,True,,0.6341979735962829,0.9999883241743235,0.31746148164876126,0.7594700089232279,0.0034170106823558826,1.0,1.2846656399998434e-07,122,180,0.4487019370991371,grid
1.3,0.1,0.6,12,16,injection,0,True,,0.633439521366507,0.9999970700180473,0.3174734361490683,0.7607119547448277,0.0017117215127808204,1.0,1.2846656399998434e-07,242,356,0.4484419933958529,grid
