stage,r_target,r_prime,kernel_beta,disp_phase,theory_gamma,theory_ok,theory_reason,tail_mass_est,n_eff,post_prob,pde_error,fidelity,rho_purity,pauli_rmse,objective,feasible
coarse,0.4833333333333333,0.09166666666666667,0.575,0.0,0.452141856022344,1,,9.938221349203857e-07,1.1803568265320181,0.24620208028558488,0.24815644497647432,0.9739097463175385,0.9999999999999992,0.11421526535989285,0.24791024289618874,1
coarse,0.4833333333333333,0.09166666666666667,0.6499999999999999,0.0,0.452141856022344,1,,8.444661434570122e-07,1.1474744886769628,0.24876662256117923,0.2525436612540114,0.9740274577703372,1.0000000000000002,0.11395732146216679,0.2522948946314502,1
coarse,0.4833333333333333,0.09166666666666667,0.725,0.0,0.452141856022344,1,,7.089269292714917e-07,1.1247769119129905,0.250682840348081,0.25607966885140737,0.9740175473914078,0.9999999999999987,0.11397906081511619,0.2558289860110593,1
coarse,0.4833333333333333,0.09166666666666667,0.7999999999999999,0.0,0.452141856022344,1,,5.876280312344662e-07,1.1127501010669942,0.2518611346293457,0.258667047928595,0.97383802795477,0.9999999999999998,0.11437213831443008,0.2584151867939657,1
coarse,0.4833333333333333,0.09166666666666667,0.875,0.0,0.452141856022344,1,,4.806243419919198e-07,1.112306510130918,0.2521983801726602,0.2602318555707975,0.9734314197042488,0.9999999999999998,0.11525749497484161,0.2599796571906248,1
coarse,0.4833333333333333,0.09166666666666667,0.95,0.0,0.452141856022344,1,,3.876114890166704e-07,1.1249495083681864,0.2515731200668022,0.2607373920807349,0.9727174981987605,0.9999999999999989,0.11679576576494362,0.2604858189606681,1
coarse,0.4833333333333333,0.15333333333333332,0.35,0.0,0.3555471020589831,1,,2.8213375697916376e-06,1.3493427573580077,0.22946716545792906,0.22468007114440727,0.9716826704103043,0.9999999999999999,0.11899018780911276,0.22445060397894934,1
coarse,0.4833333333333333,0.15333333333333332,0.425,0.0,0.3555471020589831,1,,2.479241901887086e-06,1.2788795752944198,0.23404454322870955,0.2315320996498174,0.9719869618020099,0.9999999999999991,0.11834914067704493,0.2312980551065887,1
coarse,0.4833333333333333,0.15333333333333332,0.5,0.0,0.3555471020589831,1,,2.1554290186021063e-06,1.2203749262735157,0.23812479141144788,0.23793000437061199,0.9722236272152252,1.0,0.11784814971983032,0.23769187957920054,1
coarse,0.4833333333333333,0.15333333333333332,0.575,0.0,0.3555471020589831,1,,1.8528558016761565e-06,1.1736365073641013,0.24161692027589893,0.2436819508990007,0.9723666649637326,0.9999999999999991,0.11754432150526722,0.24344033397872478,1
coarse,0.4833333333333333,0.15333333333333332,0.6499999999999999,0.0,0.3555471020589831,1,,1.5738848514468273e-06,1.1386491111974744,0.24442134284474604,0.24861161703026996,0.9723830151125239,0.9999999999999993,0.117509541926339,0.2483671956874252,1
coarse,0.4833333333333333,0.15333333333333332,0.725,0.0,0.3555471020589831,1,,1.320224845557938e-06,1.1156978214352806,0.2464267082959504,0.2525612040498834,0.9722290701855194,1.0000000000000004,0.1178366025784879,0.25231477734158747,1
coarse,0.4833333333333333,0.15333333333333332,0.7999999999999999,0.0,0.3555471020589831,1,,1.0928812561594725e-06,1.1055080848320127,0.24750570103812447,0.25539764766733136,0.9718456913799786,1.0000000000000002,0.11864718416385171,0.25515014196629326,1
coarse,0.4833333333333333,0.15333333333333332,0.875,0.0,0.3555471020589831,1,,8.921308664033845e-07,1.109431093653234,0.24750937133686082,0.25702517728139584,0.9711509251069576,1.0000000000000007,0.12010219584387914,0.25677766791005896,1
coarse,0.4833333333333333,0.15333333333333332,0.95,0.0,0.3555471020589831,1,,7.175350492660826e-07,1.12971553738655,0.24625928122318272,0.25740945148005984,0.9700291478121742,1.0000000000000004,0.12241497495777681,0.25716319219883665,1
coarse,0.4833333333333333,0.215,0.35,0.0,0.27016033813405793,1,,5.079867537505223e-06,1.3579177780040064,0.2237846763260189,0.21778935176024358,0.9708378998316212,0.9999999999999982,0.12075201896527069,0.21756556708391755,1
coarse,0.4833333333333333,0.215,0.425,0.0,0.27016033813405793,1,,4.46841884849114e-06,1.2793112452436386,0.22893458901260058,0.2252814105141188,0.9711077206973517,0.9999999999999991,0.12019209479547306,0.2250524759251062,1
