r_target,r_prime,beta,fidelity,map_error,post_prob,eta_error,objective
0.7149285714285715,0.0005,0.5511111111111111,0.7607475087069807,0.6498522330639208,0.59857369879597,1.1259538904188848,1.089817874958955
0.5721428571428572,0.0005,0.2877777777777778,0.7608310329594042,0.6549331078445669,0.6083737801331552,1.1653684238417916,1.089915184818585
0.7149285714285715,0.40945454545454546,0.9022222222222223,0.7618875669155558,0.6374724253009426,0.5709482163313149,1.0608266379482167,1.0901107502197294
0.7149285714285715,0.2731363636363636,0.8144444444444445,0.7545986880751518,0.6520329443805357,0.6103948665711509,1.1043441922840076,1.0922368230198085
0.4293571428571429,0.1368181818181818,0.2877777777777778,0.7565492526474585,0.6626895237150975,0.6138550708853575,1.2019638808316568,1.0992127356249601
0.5721428571428572,0.1368181818181818,0.4633333333333334,0.7496668921341675,0.6672104241677235,0.630592316408637,1.1745486661277718,1.1022473738292375
0.8577142857142858,0.2731363636363636,0.99,0.7538066129685708,0.6506120508671024,0.5851197936333871,1.0869082189231696,1.1042455410818381
0.4293571428571429,0.40945454545454546,0.4633333333333334,0.752672607748806,0.6599342335227767,0.6024836175780223,1.1831209976099852,1.1060198169849595
0.8577142857142858,0.1368181818181818,0.9022222222222223,0.7517612305892197,0.6564104828389645,0.5924021904706631,1.1092100358599808,1.1084481570144131
0.8577142857142858,0.0005,0.8144444444444445,0.7571956976370454,0.6509250265371881,0.5695793739241144,1.1072611443850136,1.1089396419380855
0.7149285714285715,0.1368181818181818,0.638888888888889,0.7442232388954395,0.6709026396277817,0.6307095164459864,1.157847550679306,1.111324642509349
0.7149285714285715,0.0005,0.4633333333333334,0.7487077150299404,0.6677408279828191,0.611135272303869,1.1647718730186052,1.1134654768009442
0.7149285714285715,0.5457727272727272,0.9022222222222223,0.757489486343315,0.6401174854869154,0.5341657531670017,1.052896206813228,1.1155451225600994
0.5721428571428572,0.0005,0.2,0.7481562639848636,0.6740079490216021,0.6163158950425832,1.208797269869674,1.117693737515447
0.2865714285714286,0.2731363636363636,0.2,0.7656294915807378,0.6532767707627374,0.5384654683787896,1.2664853622843504,1.1184145449926048
0.7149285714285715,0.2731363636363636,0.7266666666666668,0.7353397888377236,0.6804228416038302,0.6398711744044645,1.1649893047349933,1.1251474655638742
0.5721428571428572,0.40945454545454546,0.638888888888889,0.7373286210384714,0.6772397883894787,0.6284045096151072,1.1684619942051089,1.1257089125434536
0.7149285714285715,0.40945454545454546,0.8144444444444445,0.7386643103564641,0.6719648340266662,0.614459726185928,1.1338426846429839,1.1260706605772381
0.8577142857142858,0.40945454545454546,0.99,0.7441197978746562,0.6617953730272389,0.581550426291966,1.0989855356081852,1.1269003620065998
0.5721428571428572,0.2731363636363636,0.5511111111111111,0.7351502498612594,0.684487947640906,0.6436345641116752,1.1971606410943532,1.127520415723809
0.8577142857142858,0.0005,0.7266666666666668,0.7458879834859514,0.6675321222184267,0.5860349767615127,1.142276338196619,1.1286266503517188
0.4293571428571429,0.2731363636363636,0.3755555555555556,0.7404301981113035,0.682353234303112,0.6263902315143294,1.2338034527013508,1.1287279204346439
0.5721428571428572,0.5457727272727272,0.638888888888889,0.7377992389799455,0.6727826132298254,0.6072327147888569,1.1525464053594932,1.1313670168554515
0.8577142857142858,0.2731363636363636,0.9022222222222223,0.7355991955653847,0.6772567981462796,0.6197540447778749,1.1425570194983234,1.1317805801919576
0.8577142857142858,0.1368181818181818,0.8144444444444445,0.737295981212307,0.6775541912542017,0.6163241793367669,1.1537187534821254,1.1320961203735114
0.5721428571428572,0.1368181818181818,0.3755555555555556,0.7333390759338189,0.6914994448801699,0.6445770758874054,1.22946086988228,1.1358718310026483
0.7149285714285715,0.0005,0.3755555555555556,0.7367312796989955,0.6854391408849564,0.6221362706088198,1.203955602129216,1.137639725881551
0.4293571428571429,0.1368181818181818,0.2,0.7393261548859583,0.6887766650940517,0.6222975001870343,1.2640581236594604,1.1383017601145762
0.7149285714285715,0.1368181818181818,0.5511111111111111,0.7289034161322477,0.6934077291435292,0.648938554933096,1.2071278084277395,1.1400350355447335
